frame,label,area,centroid_x,centroid_y,original_label,perimeter,show
0,126,0,0.0,0.0,133.0,1,0
0,127,0,0.0,0.0,135.0,1,0
0,128,0,0.0,0.0,136.0,1,0
0,129,0,0.0,0.0,138.0,1,0
0,130,0,0.0,0.0,139.0,1,0
0,131,0,0.0,0.0,140.0,1,0
0,132,0,0.0,0.0,141.0,1,0
0,133,1761,130.4906311,241.4406586,142.0,158,1
1,0,2312,30.01297569,20.56271553,1.0,106,1
1,1,260,58.65000153,6.084615231,2.0,36,1
1,2,4782,39.21183777,74.26055908,3.0,244,1
1,3,1608,138.9527435,10.42475128,4.0,94,1
1,4,0,0.0,0.0,5.0,1,0
1,5,3086,223.1824341,42.15424347,6.0,214,1
1,6,3131,286.196106,27.5365696,7.0,160,1
1,7,2923,328.9117432,36.46048737,8.0,183,1
1,8,3561,370.6767883,65.23336029,9.0,239,1
1,9,1668,417.9034729,19.75479698,10.0,110,1
1,10,2352,456.1543274,27.4430275,11.0,146,1
1,11,1687,496.5518799,26.40960312,12.0,72,1
1,12,2967,168.274353,48.5358963,13.0,197,1
1,13,2689,247.0788422,75.29676819,14.0,193,1
1,14,3076,415.4892578,82.70285797,15.0,206,1
1,15,1260,497.084137,77.25952148,16.0,90,1
1,16,2605,106.0475998,83.19654846,17.0,192,1
1,17,5689,291.9135132,110.5312042,18.0,278,1
1,18,1926,192.2289734,103.0368652,19.0,157,1
1,19,2078,152.9003906,104.3796921,20.0,168,1
1,20,2956,467.7642212,84.85690308,21.0,224,1
1,21,4224,359.502594,134.6579132,22.0,251,1
1,22,2404,222.9762878,127.5291214,23.0,186,1
1,23,2753,34.02470016,128.4827423,24.0,196,1
1,24,3388,98.95896912,130.945694,25.0,206,1
1,25,1361,490.9691467,129.9500427,26.0,115,1
1,26,795,8.642766953,154.0943451,27.0,74,1
1,27,3654,162.322113,157.5621185,28.0,197,1
1,28,4322,309.3493652,176.4928284,29.0,226,1
1,29,9831,428.9839172,170.6089935,30.0,371,1
1,30,4751,238.0404053,185.8791809,31.0,243,1
1,31,3246,53.93376541,176.3937225,32.0,200,1
1,32,4708,105.673111,202.1792755,33.0,237,1
1,33,4157,184.1808929,217.5419769,34.0,229,1
1,34,4119,354.9395447,219.1206665,35.0,238,1
1,35,371,8.148247719,186.0700836,36.0,48,1
1,36,3655,23.98522568,232.1671753,37.0,160,1
1,37,3767,277.291748,234.0557404,38.0,212,1
1,38,1465,455.0150146,246.3924866,39.0,153,1
1,39,3715,406.8686523,262.5402527,40.0,221,1
1,40,3452,220.1894531,275.2459412,41.0,214,1
1,41,4710,292.6762085,283.0481873,42.0,259,1
1,42,4297,164.1603394,285.389801,43.0,224,1
1,43,3557,363.0576477,289.4264832,44.0,198,1
1,44,5390,93.70983124,309.3467407,45.0,250,1
1,45,3861,25.21471214,307.9282532,46.0,167,1
1,46,3006,442.8772583,322.8915405,47.0,198,1
1,47,1760,486.7374878,322.0568237,48.0,133,1
1,48,3931,337.0511169,344.8962097,49.0,202,1
1,49,2405,395.9821167,339.4873047,50.0,168,1
1,50,4175,143.918808,351.0701904,51.0,227,1
1,51,4134,266.7438354,339.3911438,52.0,246,1
1,52,3612,207.1384277,348.3358154,53.0,221,1
1,53,6858,53.90945053,377.7271729,54.0,263,1
1,54,1112,500.7383118,361.8219299,55.0,90,1
1,55,2964,471.3056641,383.3970947,56.0,193,1
1,56,2370,421.4683533,380.0443115,57.0,171,1
1,57,4969,289.2247925,396.7099915,58.0,250,1
1,58,5922,364.1469116,416.3770752,59.0,259,1
1,59,2307,171.8465576,404.5153809,60.0,178,1
1,60,4298,220.1921844,418.7501221,61.0,225,1
1,61,3122,124.0358734,414.2684326,62.0,189,1
1,62,683,502.5329285,409.7261963,63.0,61,1
1,63,2125,12.14305878,442.4301147,64.0,120,1
1,64,5098,425.3517151,443.5916138,65.0,249,1
1,65,4800,308.7120972,472.9845886,66.0,195,1
1,66,2301,163.3737488,455.696228,67.0,162,1
1,67,3490,449.7260742,490.9237671,68.0,140,1
1,68,2530,367.2071228,490.9766846,69.0,122,1
1,69,2394,93.44736481,453.7314148,70.0,187,1
1,70,2791,205.4672089,487.4607544,71.0,138,1
1,71,2123,143.9651489,493.2529297,72.0,135,1
1,72,3028,492.0838928,459.0419312,73.0,139,1
1,73,1592,374.8605652,19.51758766,74.0,105,1
1,74,3277,479.8861694,275.6335144,75.0,175,1
1,75,3516,256.2147217,470.7662048,76.0,188,1
1,76,4984,42.99317932,463.0128479,77.0,267,1
1,77,2050,91.01073456,494.1102295,78.0,164,1
1,78,255,3.337255001,50.47451019,79.0,42,1
1,79,0,0.0,0.0,80.0,1,0
1,80,2141,492.5618896,216.6936035,82.0,118,1
1,81,0,0.0,0.0,83.0,1,0
1,82,1768,493.4836121,167.6233063,84.0,113,1
1,83,0,0.0,0.0,85.0,1,0
1,84,0,0.0,0.0,86.0,1,0
1,85,2478,67.88861847,256.1997681,87.0,200,1
1,86,0,0.0,0.0,88.0,1,0
1,87,0,0.0,0.0,90.0,1,0
1,88,0,0.0,0.0,91.0,1,0
1,89,0,0.0,0.0,92.0,1,0
1,90,1294,211.1561127,9.413446426,93.0,83,1
1,91,0,0.0,0.0,94.0,1,0
1,92,0,0.0,0.0,95.0,1,0
1,93,0,0.0,0.0,96.0,1,0
1,94,0,0.0,0.0,98.0,1,0
1,95,0,0.0,0.0,99.0,1,0
1,96,0,0.0,0.0,100.0,1,0
1,97,0,0.0,0.0,101.0,1,0
1,98,0,0.0,0.0,102.0,1,0
1,99,0,0.0,0.0,104.0,1,0
1,100,0,0.0,0.0,105.0,1,0
1,101,0,0.0,0.0,106.0,1,0
1,102,0,0.0,0.0,108.0,1,0
1,103,0,0.0,0.0,109.0,1,0
1,104,0,0.0,0.0,110.0,1,0
1,105,0,0.0,0.0,111.0,1,0
1,106,0,0.0,0.0,112.0,1,0
