frame,label,centroid_x,centroid_y,area
0,0,372.574951171875,194.64540100097656,3322.0
0,1,312.60845947265625,209.57249450683597,2697.0
0,2,434.3313903808594,306.4621276855469,3618.0
0,3,152.95126342773438,55.22074890136719,5889.0
0,4,368.0110168457031,247.60975646972656,4451.0
0,5,0.0,0.0,0.0
0,6,485.78619384765625,264.0426940917969,3653.0
0,7,221.6010589599609,32.30828094482422,4324.0
0,8,360.8388366699219,54.547889709472656,3884.0
0,9,285.6313781738281,59.14771270751953,4441.0
0,10,302.7018737792969,113.33271026611328,3760.0
0,11,187.2196044921875,173.33944702148438,4039.0
0,12,225.60792541503903,239.96832275390625,5050.0
0,13,445.04241943359375,220.75924682617188,3323.0
0,14,0.0,0.0,0.0
0,15,324.5448608398437,16.487804412841797,2296.0
0,16,483.097412109375,29.634490966796875,3398.0
0,17,86.28270721435547,88.2677993774414,6841.0
0,18,442.7232360839844,69.94727325439453,4419.0
0,19,386.2314758300781,100.26646423339844,3888.0
0,20,212.5749969482422,103.66199493408205,5633.0
0,21,0.0,0.0,0.0
0,22,494.0332946777344,160.9836883544922,1472.0
0,23,248.611572265625,154.79833984375,3630.0
0,24,492.7702331542969,203.7548675537109,1693.0
0,25,146.19090270996094,221.64134216308597,4882.0
0,26,378.15142822265625,352.6998291015625,4431.0
0,27,188.635009765625,357.8691711425781,3348.0
0,28,252.36045837402344,373.3284301757813,3121.0
0,29,15.879273414611816,69.92557525634766,2311.0
0,30,118.7540283203125,313.58624267578125,2110.0
0,31,309.8254089355469,360.6116027832031,4691.0
0,32,450.9539489746094,374.6755676269531,4605.0
0,33,68.614990234375,312.18487548828125,2948.0
0,34,375.7943420410156,418.5091247558594,5042.0
0,35,28.620092391967773,143.7489471435547,4509.0
0,36,129.48020935058594,149.76077270507812,4598.0
0,37,59.82470703125,404.1502990722656,2801.0
0,38,216.6001739501953,408.8445434570313,3364.0
0,39,489.5848388671875,418.920654296875,3100.0
0,40,435.2369384765625,435.35540771484375,2777.0
0,41,168.03952026367188,437.4129333496094,2303.0
0,42,75.00984191894531,444.40234375,2744.0
0,43,156.22718811035156,489.296630859375,2751.0
0,44,71.176513671875,172.40744018554688,2793.0
0,45,446.9361267089844,149.89407348632812,3257.0
0,46,17.75236701965332,404.439453125,2007.0
0,47,129.8138427734375,434.7024536132813,1993.0
0,48,257.1596069335937,465.8227233886719,3001.0
0,49,213.57809448242188,472.5733947753906,3406.0
0,50,376.4582214355469,481.8282470703125,4367.0
0,51,34.43238830566406,486.165771484375,3143.0
0,52,0.0,0.0,0.0
0,53,421.4398193359375,252.448486328125,1155.0
0,54,444.673095703125,474.1523742675781,1398.0
0,55,316.2282409667969,491.4718017578125,1437.0
0,56,448.0273742675781,500.9054870605469,1206.0
0,57,285.2149658203125,498.20892333984375,828.0
0,58,96.14266204833984,265.1483764648437,3673.0
0,59,198.5559234619141,500.9342041015625,304.0
0,60,270.0789489746094,202.3770294189453,2647.0
0,61,268.919189453125,294.8857116699219,3885.0
0,62,491.488525390625,480.9820861816406,2399.0
0,63,0.0,0.0,0.0
0,64,172.36380004882812,7.698354721069336,547.0
0,65,18.094804763793945,447.4883117675781,770.0
0,66,0.0,0.0,0.0
0,67,31.582489013671875,346.3373413085937,3655.0
0,68,100.18190002441406,374.315185546875,3414.0
0,69,304.7846984863281,433.3177490234375,5388.0
0,70,0.0,0.0,0.0
0,71,170.33209228515625,288.43829345703125,4303.0
0,72,145.87969970703125,370.201171875,3375.0
0,73,98.52615356445312,485.3406982421875,2944.0
0,74,44.80158233642578,27.241498947143555,4294.0
0,75,488.5874938964844,331.2476501464844,2960.0
0,76,0.0,0.0,0.0
0,77,0.0,0.0,0.0
0,78,383.8551025390625,298.3370361328125,2795.0
0,79,0.0,0.0,0.0
0,80,18.400218963623047,210.42965698242188,1834.0
0,81,0.0,0.0,0.0
0,82,0.0,0.0,0.0
0,83,69.3841323852539,221.9570159912109,3327.0
0,84,407.5479431152344,17.94093132019043,2878.0
0,85,0.0,0.0,0.0
0,86,0.0,0.0,0.0
0,87,393.2429504394531,155.3251190185547,4223.0
0,88,105.95086669921876,15.551128387451172,1506.0
0,89,489.4242858886719,105.66027069091795,3335.0
0,90,22.83943748474121,276.75994873046875,3195.0
0,91,0.0,0.0,0.0
0,92,0.0,0.0,0.0
0,93,323.4901428222656,157.31326293945312,2691.0
0,94,315.825439453125,283.1759338378906,4348.0
0,95,267.596435546875,9.471571922302246,897.0
0,96,0.0,0.0,0.0
0,97,0.0,0.0,0.0
0,98,0.0,0.0,0.0
0,99,0.0,0.0,0.0
0,100,222.77069091796875,315.143798828125,2573.0
0,101,0.0,0.0,0.0
0,102,0.0,0.0,0.0
0,103,0.0,0.0,0.0
0,104,0.0,0.0,0.0
0,105,0.0,0.0,0.0
0,106,0.0,0.0,0.0
0,107,0.0,0.0,0.0
0,108,0.0,0.0,0.0
0,109,0.0,0.0,0.0
0,110,0.0,0.0,0.0
0,111,0.0,0.0,0.0
0,112,0.0,0.0,0.0
0,113,0.0,0.0,0.0
0,114,0.0,0.0,0.0
0,115,0.0,0.0,0.0
0,116,0.0,0.0,0.0
0,117,0.0,0.0,0.0
0,118,0.0,0.0,0.0
0,119,0.0,0.0,0.0
0,120,0.0,0.0,0.0
0,121,0.0,0.0,0.0
0,122,0.0,0.0,0.0
0,123,0.0,0.0,0.0
0,124,0.0,0.0,0.0
0,125,0.0,0.0,0.0
0,126,0.0,0.0,0.0
0,127,0.0,0.0,0.0
0,128,0.0,0.0,0.0
0,129,0.0,0.0,0.0
0,130,0.0,0.0,0.0
0,131,0.0,0.0,0.0
0,132,0.0,0.0,0.0
1,0,376.69049072265625,195.37828063964844,3664.0
1,1,311.54351806640625,210.82131958007807,2804.0
1,2,434.6488342285156,307.9237976074219,3346.0
1,3,152.31849670410156,54.70692443847656,5821.0
1,4,368.7710571289063,249.7471923828125,4984.0
1,5,0.0,0.0,0.0
1,6,486.1373901367188,262.7039794921875,3574.0
1,7,220.8390045166016,31.71326446533203,4199.0
1,8,361.8457336425781,55.36640167236328,4304.0
1,9,285.65185546875,59.790077209472656,4797.0
1,10,303.75732421875,114.98043823242188,3680.0
1,11,188.5124053955078,173.15557861328125,4313.0
1,12,227.09762573242188,241.06985473632807,5111.0
1,13,449.4670104980469,219.7046661376953,2895.0
1,14,0.0,0.0,0.0
1,15,325.0154724121094,15.560760498046877,2263.0
1,16,482.8429260253906,30.218019485473636,3463.0
1,17,85.83676147460938,88.00983428955078,6812.0
1,18,442.5442504882813,70.42530059814453,4632.0
1,19,385.4554748535156,104.03501892089844,3998.0
1,20,212.7400054931641,102.92648315429688,5604.0
1,21,0.0,0.0,0.0
1,22,494.6897277832031,160.02865600585938,1431.0
1,23,250.6642608642578,154.321044921875,3473.0
1,24,493.6470336914063,202.7719573974609,1697.0
1,25,147.6693878173828,223.77381896972656,4912.0
1,26,377.0176696777344,353.1712341308594,4304.0
1,27,187.83091735839844,354.6933898925781,3454.0
1,28,252.185546875,371.4044189453125,3212.0
1,29,19.1003475189209,66.59581756591797,2870.0
1,30,124.12623596191406,313.5026550292969,2622.0
1,31,309.8416442871094,359.58514404296875,4452.0
1,32,451.2562255859375,373.1434326171875,4664.0
1,33,68.03723907470703,311.7680969238281,2954.0
1,34,374.9271240234375,417.7731323242188,4994.0
1,35,27.54587745666504,143.3829803466797,4512.0
1,36,130.3808135986328,149.3306884765625,4908.0
1,37,59.75840759277344,402.9048767089844,2765.0
1,38,215.7550048828125,406.5536193847656,3347.0
1,39,489.4638366699219,417.8981323242188,3318.0
1,40,434.2584533691406,432.3908996582031,2658.0
1,41,165.54873657226562,437.83740234375,2380.0
1,42,73.50797271728516,443.2076416015625,2697.0
1,43,156.47352600097656,489.7434692382813,2682.0
1,44,68.65840911865234,173.16329956054688,3068.0
1,45,448.1777038574219,150.1780242919922,3168.0
1,46,16.52829360961914,403.1502380371094,2050.0
1,47,128.40875244140625,432.7067565917969,1896.0
1,48,254.4447479248047,463.92425537109375,2905.0
1,49,212.6818389892578,467.4690551757813,3055.0
1,50,372.7602233886719,483.6165466308594,4650.0
1,51,34.92827224731445,488.0571899414063,3095.0
1,52,0.0,0.0,0.0
1,53,424.9220275878906,251.8223876953125,1385.0
1,54,438.3727416992188,469.9607849121094,1607.0
1,55,312.1557006835937,487.2926940917969,1657.0
1,56,448.3588562011719,495.6278381347656,1502.0
1,57,281.3129272460937,497.3879699707031,1013.0
1,58,97.8575668334961,264.4347229003906,4037.0
1,59,196.33233642578125,491.8956909179688,671.0
1,60,271.447998046875,207.8225250244141,3116.0
1,61,268.97705078125,299.8535461425781,3441.0
1,62,493.12408447265625,480.746337890625,2176.0
1,63,0.0,0.0,0.0
1,64,170.2690887451172,7.814545631408691,550.0
1,65,15.435874938964844,449.4991455078125,1154.0
1,66,0.0,0.0,0.0
1,67,31.60110855102539,346.2573547363281,3610.0
1,68,99.52350616455078,373.6527099609375,3297.0
1,69,303.1938171386719,429.5610046386719,5180.0
1,70,0.0,0.0,0.0
1,71,175.82568359375,287.8949584960937,3551.0
1,72,145.42967224121094,371.7519226074219,3249.0
