frame,label,area,centroid_x,centroid_y
0,0,2473.0,28.559240341186523,21.031944274902344
0,1,4218.0,83.795166015625,34.16168975830078
0,2,0.0,0.0,0.0
0,3,2957.0,390.6831359863281,20.47886276245117
0,4,3106.0,457.6104431152344,26.83000564575196
0,5,3522.0,160.1689453125,62.531517028808594
0,6,1201.0,12.702747344970703,63.07410430908203
0,7,3235.0,376.30169677734375,71.70757293701172
0,8,0.0,0.0,0.0
0,9,3457.0,433.80474853515625,72.29679107666016
0,10,2910.0,42.38591003417969,89.63677215576172
0,11,2821.0,492.23431396484375,84.45303344726562
0,12,2261.0,21.03272819519043,135.83900451660156
0,13,2982.0,425.5489501953125,202.41583251953125
0,14,3117.0,485.05902099609375,202.67404174804688
0,15,3499.0,327.2074890136719,229.8796844482422
0,16,4964.0,235.3430633544922,252.06446838378903
0,17,2543.0,430.44866943359375,247.8828125
0,18,2640.0,378.5693054199219,255.0424194335937
0,19,3973.0,484.6189270019531,268.7847900390625
0,20,4135.0,44.07593536376953,275.3124694824219
0,21,2617.0,142.27513122558594,332.2525939941406
0,22,2447.0,18.859010696411133,333.7838134765625
0,23,5646.0,73.28215026855469,353.13336181640625
0,24,3151.0,28.250713348388672,401.9273376464844
0,25,2663.0,17.92151641845703,457.13818359375
0,26,3770.0,201.48355102539065,27.77957534790039
0,27,4063.0,272.029296875,34.527687072753906
0,28,2777.0,328.0486145019531,47.52862930297852
0,29,3442.0,203.99331665039065,95.42388153076172
0,30,2283.0,340.9811706542969,105.03591918945312
0,31,3646.0,295.3230895996094,135.3033447265625
0,32,4298.0,133.39971923828125,138.6321563720703
0,33,0.0,0.0,0.0
0,34,3052.0,72.69168090820312,145.59535217285156
0,35,3401.0,467.8970947265625,151.2558135986328
0,36,4972.0,34.269508361816406,200.33206176757807
0,37,3317.0,380.1808776855469,188.84474182128903
0,38,2774.0,298.0587463378906,270.3283996582031
0,39,4140.0,100.12970733642578,276.27294921875
0,40,944.0,7.802966117858887,260.5497741699219
0,41,3274.0,167.90042114257812,294.92242431640625
0,42,2668.0,262.0307312011719,308.8414611816406
0,43,5431.0,197.0848846435547,391.3507690429688
0,44,4335.0,126.03437042236328,388.63482666015625
0,45,3719.0,80.40225982666016,444.8155517578125
0,46,3290.0,133.99574279785156,449.0504455566406
0,47,3689.0,268.9002380371094,90.61588287353516
0,48,2797.0,169.94708251953125,167.99249267578125
0,49,2875.0,322.8135681152344,175.42608642578125
0,50,3207.0,261.26318359375,196.962890625
0,51,4113.0,101.69365692138672,207.03598022460932
